Country,Subject_Descriptor,Units,Scale,CountrySeries-specific_Notes,2006,Estimates_Start_After
Islamic Republic of Afghanistan,"Gross domestic product, constant prices",National currency,Billions,Source: National Statistical Office Latest actual data: 2010. Latest actual data is for the solar year 2010/11 Notes: The data for Afghanistan is based on a solar year that runs from March 21 to March 20 National accounts manual used: SNA 1993 GDP valuation: Market prices Start/end months of reporting year: April/March. Reporting year starts March 21 Base year: 2002. Base year is the solar year 2002/03 Chain-weighted: No Primary domestic currency: Afghani Data last updated: 02/2012,238.52,2010
Islamic Republic of Afghanistan,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",5.55,2010
Islamic Republic of Afghanistan,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",264.41,2007
Albania,"Gross domestic product, constant prices",National currency,Billions,"Source: IMF Staff Latest actual data: 2010 National accounts manual used: SNA 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 1996 Chain-weighted: Yes, from 1996 Primary domestic currency: Albanian leks Data last updated: 03/2012",528.07,2010
Albania,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",5.43,2010
Albania,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",2858.39,2008
Algeria,"Gross domestic product, constant prices",National currency,Billions,"Source: IMF Staff Latest actual data: 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2001 Chain-weighted: Yes, from 2005 Primary domestic currency: Algerian dinars Data last updated: 03/2012",5335.69,2010
Algeria,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",2.00,2010
Algeria,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",3516.79,2010
Angola,"Gross domestic product, constant prices",National currency,Billions,Source: National Statistical Office Latest actual data: 2009 GDP valuation: Market prices Base year: 2000 Chain-weighted: No Primary domestic currency: Angolan kwanzas Data last updated: 03/2012,906.46,2009
Angola,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",20.74,2009
Angola,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",2445.65,2000
Antigua and Barbuda,"Gross domestic product, constant prices",National currency,Billions,"Source: Central Bank Latest actual data: 2010 National accounts manual used: SNA 1993 GDP valuation: Factor costs Start/end months of reporting year: January/December Base year: 2006. Nominal and real GDP are not measured in the same way and as a result, the GDP deflator is not equal to 100. Chain-weighted: No Primary domestic currency: Eastern Caribbean dollars Data last updated: 03/2012",2.65,2010
Antigua and Barbuda,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",12.77,2010
Antigua and Barbuda,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",13490.01,2009
Argentina,"Gross domestic product, constant prices",National currency,Billions,"Source: Haver Analytics Latest actual data: 2010 Notes: Figures are based on Argentina?s official GDP data. The IMF has called on Argentina to adopt remedial measures to address the quality of these data. The IMF staff is also using alternative measures of GDP growth for macroeconomic surveillance, including data produced by private analysts, which have shown significantly lower real GDP growth than the official data since 2008. National accounts manual used: SNA 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 1993 Chain-weighted: No Primary domestic currency: Argentine pesos Data last updated: 04/2012",330.57,2010
Argentina,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",8.47,2010
Argentina,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",5492.07,2006
Armenia,"Gross domestic product, constant prices",National currency,Billions,Source: National Statistical Office Latest actual data: 2011 GDP valuation: Market prices Base year: 1996 Chain-weighted: No Primary domestic currency: Armenian drams Data last updated: 03/2012,2538.90,2011
Armenia,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",13.20,2011
Armenia,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",1982.07,2011
Australia,"Gross domestic product, constant prices",National currency,Billions,"Source: National Statistical Office. Australian Bureau of Statistics (via Time Series Plus & dXdata) Latest actual data: 2011 GDP valuation: Market prices. Data refer to calendar years Start/end months of reporting year: July/June Base year: 1999 Chain-weighted: Yes, from 1980. From 1980. Primary domestic currency: Australian dollars Data last updated: 03/2012",1173.07,2011
Australia,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",2.68,2011
Australia,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",37270.52,2011
Austria,"Gross domestic product, constant prices",National currency,Billions,"Source: National Statistical Office Latest actual data: 2011 National accounts manual used: ESA 1995 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2005 Chain-weighted: Yes, from 1988 Primary domestic currency: Euros Data last updated: 03/2012",254.24,2011
Austria,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",3.67,2011
Austria,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",39339.42,2011
Azerbaijan,"Gross domestic product, constant prices",National currency,Billions,"Source: National Statistical Office Latest actual data: 2011 Notes: Data prior to 1994 cannot be confirmed by national sources at this time. National accounts manual used: SNA 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2003 Chain-weighted: Yes, from 1994 Primary domestic currency: Azerbaijan manat Data last updated: 03/2012",13.39,2011
Azerbaijan,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",34.50,2011
Azerbaijan,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",2414.91,2009
The Bahamas,"Gross domestic product, constant prices",National currency,Billions,Source: National Statistical Office Latest actual data: 2010 National accounts manual used: SNA 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2006 Chain-weighted: No Primary domestic currency: Bahamian dollars Data last updated: 04/2012,7.97,2010
The Bahamas,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",2.51,2010
The Bahamas,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",24240.47,2008
Bahrain,"Gross domestic product, constant prices",National currency,Billions,Source: Ministry of Finance Latest actual data: 2010 National accounts manual used: SNA 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2001 Chain-weighted: No Primary domestic currency: Bahrain dinars Data last updated: 03/2012,4.11,2010
Bahrain,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",6.65,2010
Bahrain,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",21155.91,2010
Bangladesh,"Gross domestic product, constant prices",National currency,Billions,Source: Bangladesh Bureau of Statistics Latest actual data: 2010 GDP valuation: Market prices Chain-weighted: No Primary domestic currency: Bangladesh taka Data last updated: 03/2012,2938.22,2010
Bangladesh,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",6.53,2010
Bangladesh,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",419.42,2010
Barbados,"Gross domestic product, constant prices",National currency,Billions,"Source: Central Bank Latest actual data: 2010 National accounts manual used: SNA 1993 GDP valuation: Factor costs Start/end months of reporting year: January/December Base year: 2000. GDP in current prices uses 2000 as base year, but GDP in constant price uses 1974 as base year. Chain-weighted: No Primary domestic currency: Barbados dollars Data last updated: 03/2012",1.10,2010
Barbados,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",3.56,2010
Barbados,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",15320.26,2009
Belarus,"Gross domestic product, constant prices",National currency,Billions,"Source: National Statistical Office. Formally, the National Statistical Committee of the Republic of Belarus Latest actual data: 2010. For quarterly data, latest actual is 2011Q3. Headline real GDP as of 2011Q4. National accounts manual used: ESA 1995 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2009 Chain-weighted: Yes, from 2005 Primary domestic currency: Belarusian rubels Data last updated: 03/2012",114556.49,2010
Belarus,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",10.00,2010
Belarus,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",3805.01,2010
Belgium,"Gross domestic product, constant prices",National currency,Billions,"Source: Central Bank. Data before 1995 were spliced with older series. Data from 1995 reflect current official series. Latest actual data: 2011 National accounts manual used: ESA 1995 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2009 Chain-weighted: Yes, from 1995. Data before 1995 are spliced with older series. Primary domestic currency: Euros Data last updated: 03/2012",337.25,2011
Belgium,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",2.70,2011
Belgium,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",38070.29,2011
Belize,"Gross domestic product, constant prices",National currency,Billions,Source: National Statistical Office Latest actual data: 2010 National accounts manual used: SNA 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2000 Chain-weighted: No Primary domestic currency: Belize dollars Data last updated: 03/2012,2.26,2010
Belize,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",4.66,2010
Belize,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",4046.82,2010
Benin,"Gross domestic product, constant prices",National currency,Billions,Source: National Statistical Office Latest actual data: 2010 National accounts manual used: SNA 1993 GDP valuation: Market prices Base year: 2000 Chain-weighted: No Primary domestic currency: CFA francs Data last updated: 03/2012,2130.56,2010
Benin,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",3.75,2010
Benin,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",544.87,2010
Bhutan,"Gross domestic product, constant prices",National currency,Billions,"Source: National Statistical Office Latest actual data: Fiscal year 2006/07. Data for 2007/08 is an advanced estimate. Notes: Fiscal year data converted to calendar year by staff. GDP valuation: Factor costs Start/end months of reporting year: January/December Base year: 2000. Nominal and real GDP are not measured in the same way and as a result, the GDP deflator is not equal to 100. Chain-weighted: No Primary domestic currency: Bhutanese ngultrum Data last updated: 02/2012",30.86,0
Bhutan,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",6.85,0
Bhutan,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",1481.52,0
Bolivia,"Gross domestic product, constant prices",National currency,Billions,Source: National Statistical Office Latest actual data: 2009 GDP valuation: Market prices Base year: 1990 Chain-weighted: No Primary domestic currency: Thousands of Bolivianos Data last updated: 04/2012,27.08,2009
Bolivia,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",2.80,2009
Bolivia,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",1196.55,2004
Bosnia and Herzegovina,"Gross domestic product, constant prices",National currency,Billions,"Source: National Statistical Office. Authorities provided revised supply-side GDP data for the period 00-10 and demand -side GDP data for the period 04-10. Latest actual data: 2010 National accounts manual used: ESA 1995 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2005 Chain-weighted: Yes, from 2000 Primary domestic currency: Convertible marka Data last updated: 03/2012",18.18,2010
Bosnia and Herzegovina,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",5.97,2010
Bosnia and Herzegovina,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",3153.63,2010
Botswana,"Gross domestic product, constant prices",National currency,Billions,Source: National Statistical Office Latest actual data: 2010 National accounts manual used: SNA 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2000 Chain-weighted: No Primary domestic currency: Botswana pula Data last updated: 04/2012,23.61,2010
Botswana,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",5.12,2010
Botswana,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",6473.25,2008
Brazil,"Gross domestic product, constant prices",National currency,Billions,Source: National Statistical Office Latest actual data: 2011 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 1998 Chain-weighted: No Primary domestic currency: Brazilian reais Data last updated: 03/2012,1221.26,2011
Brazil,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",3.96,2011
Brazil,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",5869.43,2010
Brunei Darussalam,"Gross domestic product, constant prices",National currency,Billions,"Source: Prime Minister's Office, Economic Planning and Development Department Latest actual data: 2010 National accounts manual used: SNA 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2000 Chain-weighted: No Primary domestic currency: Brunei dollars Data last updated: 03/2012",11.97,2010
Brunei Darussalam,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",4.40,2010
Brunei Darussalam,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",29949.15,2010
Bulgaria,"Gross domestic product, constant prices",National currency,Billions,"Source: National Statistical Office Latest actual data: 2011 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2005 Chain-weighted: Yes, from 2005 Primary domestic currency: Bulgarian leva Data last updated: 03/2012",48.45,2011
Bulgaria,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",6.51,2011
Bulgaria,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",4324.61,2010
Burkina Faso,"Gross domestic product, constant prices",National currency,Billions,Source: National Statistical Office. The ministry of economy also provides estimates Latest actual data: 2010. INSD will update the antional accounts in April to include the latest actual of 2008 while 2009-2010 are estimates from the ministry of economy National accounts manual used: SNA 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 1999 Chain-weighted: No Primary domestic currency: CFA francs Data last updated: 03/2012,2715.23,2010
Burkina Faso,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",5.52,2010
Burkina Faso,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",452.71,2010
Burundi,"Gross domestic product, constant prices",National currency,Billions,Source: National Statistical Office Latest actual data: 2009. No official national accounts data have been published since 1998. GDP valuation: Market prices Base year: 2000 Chain-weighted: No Primary domestic currency: Burundi francs Data last updated: 03/2012,1273.47,2009
Burundi,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",5.39,2009
Burundi,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",161.90,0
Cambodia,"Gross domestic product, constant prices",National currency,Billions,Source: National Statistical Office Latest actual data: 2011. The authorities' published data is up to 2010. National accounts data for 2011 is Staff's estimates. National accounts manual used: SNA 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2000 Chain-weighted: No Primary domestic currency: Cambodian riels Data last updated: 03/2012,24379.73,2011
Cambodia,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",10.77,2011
Cambodia,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",513.62,2008
Cameroon,"Gross domestic product, constant prices",National currency,Billions,"Source: National Statistical Office Latest actual data: 2010 Notes: The percent changes in 2002 are calculated over a period of 18 months, reflecting a change in the fiscal year cycle (from July-June to January-December). National accounts manual used: SNA 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2000 Chain-weighted: No Primary domestic currency: CFA francs Data last updated: 03/2012",8188.20,2010
Cameroon,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",3.22,2010
Cameroon,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",979.05,2010
Canada,"Gross domestic product, constant prices",National currency,Billions,"Source: National Statistical Office Latest actual data: 2011 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2002 Chain-weighted: Yes, from 1980 Primary domestic currency: Canadian dollars Data last updated: 04/2012",1283.03,2011
Canada,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",2.82,2011
Canada,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",39301.92,2011
Cape Verde,"Gross domestic product, constant prices",National currency,Billions,Source: National Statistical Office Latest actual data: 2008 National accounts manual used: SNA 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 1980 Chain-weighted: No Primary domestic currency: Cape Verde escudos Data last updated: 03/2012,26.25,2008
Cape Verde,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",10.14,2008
Cape Verde,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",2288.15,2007
Central African Republic,"Gross domestic product, constant prices",National currency,Billions,Source: National Statistical Office Latest actual data: 2010 National accounts manual used: SNA 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2000 Chain-weighted: No Primary domestic currency: CFA francs Data last updated: 03/2012,649.26,2010
Central African Republic,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",3.80,2010
Central African Republic,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",351.92,2004
Chad,"Gross domestic product, constant prices",National currency,Billions,Source: Central Bank Latest actual data: 2010 National accounts manual used: Unknown GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 1995 Chain-weighted: No Primary domestic currency: CFA francs Data last updated: 03/2012,1645.80,2010
Chad,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",0.15,2010
Chad,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",680.86,2004
Chile,"Gross domestic product, constant prices",National currency,Billions,"Source: Central Bank Latest actual data: 2011 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2008 Chain-weighted: Yes, from 2003 Primary domestic currency: Chilean pesos Data last updated: 04/2012",86400.97,2011
Chile,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",5.83,2011
Chile,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",9421.78,2009
China,"Gross domestic product, constant prices",National currency,Billions,"Source: CEIC Latest actual data: 2011 National accounts manual used: SNA 2008 GDP valuation: Market prices. Production-based measure Start/end months of reporting year: January/December Base year: 1990. China GDP deflator does not equal 100 in the base year. This is due to the fact that, in the base year, there is a discrepancy between production-based and expenditure-based nominal GDP series. Reported NGDP series are production-based, while NGDP_R series are estimated using expenditure based nominal GDP in the base year and contributions to growth in subsequent years. Chain-weighted: No Primary domestic currency: Chinese yuan Data last updated: 03/2012",9366.66,2011
China,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",12.68,2011
China,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",2063.87,2011
Colombia,"Gross domestic product, constant prices",National currency,Billions,"Source: National Statistical Office Latest actual data: 2009 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2005. DANE (Colombia Institute of Statistics) has done a rebasing of the national accounts (now base year is 2005 and before 2000). Data with the new base is ONLY AVAILABLE FROM 2000. The change also includes methodological changes (for example, direct estimation of private consumption based on a survey) and most important, change in the index formulae (historically a Laspeyres fixed-base index and now a Laspeyres chain index). The main implications are that the 2000 and 2005 series are not comparable and the chain index is associated with non-additivity of the components. Chain-weighted: Yes, from 2000 Primary domestic currency: Colombian pesos Data last updated: 03/2012",362938.00,2009
Colombia,"Gross domestic product, constant prices",Percent change,,"See notes for:  Gross domestic product, constant prices (National currency).",6.70,2009
