Country,Edu,GDP_PPP,Health,HDI,Income
Afghanistan,0.321,904.00,0.424,0.354,0.327
Albania,0.716,6447.00,0.886,0.724,0.599
Algeria,0.613,7210.00,0.819,0.673,0.607
Andorra,,,0.952,,0.839
Angola,0.409,4164.00,0.458,0.459,0.516
Antigua and Barbuda,,17660.00,0.819,,0.731
Argentina,0.786,11623.00,0.868,0.773,0.678
Armenia,0.743,4633.00,0.842,0.703,0.555
Australia,0.978,33209.00,0.965,0.92,0.826
Austria,0.824,34373.00,0.944,0.866,0.835
Azerbaijan,,5981.00,0.78,,0.566
Bahamas,0.671,,0.854,0.768,0.791
Bahrain,0.734,29195.00,0.858,0.799,0.809
Bangladesh,0.393,1123.00,0.746,0.47,0.353
Barbados,0.742,,0.884,0.79,0.75
Belarus,0.773,9480.00,0.774,0.731,0.651
Belgium,0.868,32775.00,0.935,0.877,0.831
Belize,0.65,6337.00,0.865,0.69,0.585
Benin,0.351,1319.00,0.539,0.411,0.366
Bhutan,,3613.00,0.714,,0.514
Bolivia (Plurinational State of),0.723,3857.00,0.711,0.65,0.534
Bosnia and Herzegovina,0.712,6618.00,0.867,0.72,0.605
Botswana,0.68,12204.00,0.496,0.611,0.678
Brazil,0.646,8744.00,0.818,0.695,0.637
Brunei Darussalam,0.725,48589.00,0.904,0.834,0.886
Bulgaria,0.778,10501.00,0.829,0.753,0.663
Burkina Faso,0.165,1060.00,0.521,0.307,0.339
Burundi,0.288,347.00,0.445,0.281,0.172
Cambodia,0.499,1583.00,0.642,0.501,0.392
Cameroon,0.461,1973.00,0.467,0.451,0.426
Canada,0.902,35651.00,0.951,0.897,0.84
Cape Verde,0.431,2903.00,0.834,0.555,0.477
Central African Republic,0.295,671.00,0.393,0.316,0.273
Chad,0.201,1305.00,0.445,0.311,0.337
Chile,0.764,12599.00,0.923,0.78,0.673
China,0.588,4611.00,0.826,0.644,0.549
Colombia,0.624,7675.00,0.829,0.683,0.616
Comoros,0.368,1117.00,0.619,0.428,0.345
Congo,0.52,3637.00,0.559,0.51,0.456
Congo (Democratic Republic of the),0.326,272.00,0.429,0.266,0.135
Costa Rica,0.645,9642.00,0.926,0.729,0.65
Côte d'Ivoire,0.295,1537.00,0.506,0.385,0.384
Croatia,0.762,16093.00,0.878,0.785,0.724
Cuba,0.824,,0.915,0.745,0.547
Cyprus,0.743,24929.00,0.927,0.814,0.783
Czech Republic,0.927,21678.00,0.893,0.858,0.763
Denmark,0.911,34207.00,0.914,0.887,0.838
Djibouti,0.274,1902.00,0.568,0.407,0.436
Dominica,0.666,7614.00,0.899,0.716,0.613
Dominican Republic,0.601,6762.00,0.824,0.666,0.596
Ecuador,0.657,6923.00,0.865,0.698,0.6
Egypt,0.528,4529.00,0.819,0.618,0.547
El Salvador,0.609,5902.00,0.806,0.658,0.58
Equatorial Guinea,0.427,24417.00,0.467,0.519,0.698
Eritrea,,610.00,0.62,,0.255
Estonia,0.918,18434.00,0.838,0.829,0.739
Ethiopia,0.219,683.00,0.568,0.327,0.28
Fiji,0.762,4348.00,0.766,0.678,0.534
Finland,0.879,31914.00,0.931,0.878,0.827
France,0.85,30227.00,0.955,0.873,0.819
Gabon,0.638,12933.00,0.638,0.648,0.669
Gambia,0.304,1182.00,0.582,0.392,0.34
Georgia,0.819,3916.00,0.835,0.712,0.528
Germany,0.929,32457.00,0.939,0.898,0.831
Ghana,0.513,1242.00,0.658,0.494,0.358
Greece,0.861,25652.00,0.937,0.861,0.791
Grenada,,7806.00,0.869,,0.617
Guatemala,0.407,4178.00,0.788,0.555,0.533
Guinea,0.237,956.00,0.5,0.331,0.307
Guinea-Bissau,0.302,972.00,0.416,0.344,0.323
Guyana,0.648,2604.00,0.755,0.613,0.471
Haiti,0.392,1023.00,0.636,0.433,0.327
Honduras,0.543,3416.00,0.815,0.604,0.499
"Hong Kong, China (SAR)",0.763,37938.00,0.966,0.857,0.853
Hungary,0.855,17661.00,0.842,0.808,0.733
Iceland,0.893,35681.00,0.964,0.895,0.832
India,0.426,2479.00,0.689,0.512,0.459
Indonesia,0.535,3352.00,0.748,0.579,0.484
Iran (Islamic Republic of),0.601,9721.00,0.814,0.684,0.653
Iraq,0.48,3000.00,0.757,0.557,0.475
Ireland,0.945,39674.00,0.932,0.904,0.837
Israel,0.901,24290.00,0.952,0.877,0.786
Italy,0.832,28554.00,0.963,0.866,0.81
Jamaica,0.726,7183.00,0.817,0.71,0.604
Japan,0.869,30933.00,0.986,0.891,0.825
Jordan,0.679,4569.00,0.832,0.678,0.552
Kazakhstan,0.826,9529.00,0.717,0.721,0.635
Kenya,0.533,1386.00,0.532,0.474,0.376
Kiribati,,2346.00,0.736,,0.51
Korea (Democratic People's Rep. of),,,0.766,,
Korea (Republic of),0.908,23884.00,0.935,0.873,0.784
Kuwait,0.572,44697.00,0.852,0.755,0.882
Kyrgyzstan,0.712,1765.00,0.735,0.598,0.407
Lao People's Democratic Republic,0.414,1761.00,0.712,0.491,0.402
Latvia,0.855,14713.00,0.82,0.793,0.711
Lebanon,0.681,9478.00,0.815,0.713,0.653
Lesotho,0.496,1268.00,0.39,0.426,0.398
Liberia,0.414,334.00,0.521,0.298,0.122
Libyan Arab Jamahiriya,0.695,14166.00,0.847,0.748,0.712
Liechtenstein,,,0.931,,0.941
Lithuania,0.871,15399.00,0.813,0.798,0.717
Luxembourg,0.764,70984.00,0.931,0.863,0.901
The former Yugoslav Republic of Macedonia,0.666,7949.00,0.851,0.708,0.626
Madagascar,0.471,901.00,0.707,0.471,0.313
Malawi,0.379,634.00,0.472,0.36,0.261
Malaysia,0.714,12222.00,0.838,0.742,0.684
Maldives,0.535,4695.00,0.866,0.632,0.545
