Year,Country,Science,Science_se,,SES,Se,Sci Interest,,,,,From nces,,,
2006,Argentina,391,6.080039147,Argentina,-0.64,0.07,,,,,,2009,Australia,527.2705339,2.531130492
2006,Australia,527,2.260280362,Australia,0.21,0.01,,,,,,,Austria,494.3276732,3.242149478
2006,Austria,511,3.924941433,Austria,0.2,0.02,,,,,,,Belgium,506.5755261,2.522207287
2006,Azerbaijan,382,2.753531129,Azerbaijan,-0.45,0.03,,,,,,,Canada,528.704953,1.621339918
2006,Belgium,510,2.484697712,Belgium,0.17,0.02,,,,,,,Chile,447.4673602,2.922763421
2006,Brazil,390,2.786336353,Brazil,-1.12,0.03,,,,,,,Czech Republic,500.4970659,2.974224855
2006,Bulgaria,434,6.11175664,Bulgaria,-0.21,0.05,,,,,,,Denmark,499.3369747,2.48226639
2006,Canada,534,2.031759106,Canada,0.37,0.02,,,,,,,Estonia,527.8317561,2.668581505
2006,Chile,438,4.317691404,Chile,-0.7,0.06,,,,,,,Finland,554.0795098,2.335801285
2006,Chinese Taipei,532,3.568584483,Chinese Taipei,-0.31,0.02,,,,,,,France,498.2268939,3.601371794
2006,Colombia,388,3.374937908,Colombia,-1,0.05,,,,,,,Germany,520.4053495,2.798683444
2006,Croatia,493,2.445151621,Croatia,-0.11,0.02,,,,,,,Greece,470.1157642,4.03883767
2006,Czech Republic,513,3.478429801,Czech Republic,0.03,0.02,,,,,,,Hungary,502.6427483,3.142282081
2006,Denmark,496,3.108692956,Denmark,0.31,0.03,,,,,,,Iceland,495.5984986,1.411046708
2006,Estonia,531,2.522964961,Estonia,0.14,0.02,,,,,,,Ireland,507.9841538,3.26706055
2006,Finland,563,2.018485608,Finland,0.26,0.02,,,,,,,Israel,454.8509632,3.112451227
2006,France,495,3.360264767,France,-0.09,0.03,,,,,,,Italy,488.8313627,1.772959497
2006,Germany,516,3.795617249,Germany,0.29,0.03,,,,,,,Japan,539.4309934,3.41264364
2006,Greece,473,3.230920826,Greece,-0.15,0.03,,,,,,,"Korea, Republic of",537.9862301,3.43871332
2006,Hong Kong-China,542,2.473315608,Hong Kong-China,-0.67,0.03,,,,,,,Luxembourg,483.9284208,1.230944049
2006,Hungary,504,2.675972214,Hungary,-0.09,0.03,,,,,,,Mexico,415.9086722,1.787947099
2006,Iceland,491,1.637478226,Iceland,0.77,0.01,,,,,,,Netherlands,522.2181283,5.418858573
2006,Indonesia,393,5.729960788,Indonesia,-1.52,0.05,,,,,,,New Zealand,532.0069012,2.578754709
2006,Ireland,508,3.186063255,Ireland,-0.02,0.03,,,,,,,Norway,499.8756998,2.600341553
2006,Israel,454,3.706953654,Israel,0.22,0.02,,,,,,,Poland,508.0682972,2.413253774
